카테고리,[잡담],[질문],[정보],[기타]
[잡담],아라한루민이제 막 상노탑 진입한 할만한 갈증 리퍼1550인데 숙련기준 할만한 리퍼등등등,,,
[잡담],물론 그 지표는 인벤에서 수집합니다,,,
[잡담],"""제대로"" 보여주세요가 맞지 않나요",,,
[잡담],요년이!!,,,
[잡담],딜을?? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이젠 모르겠다,,,
[잡담],테섭에서 상향먹고 허수 설레발 떨다가롤백되는 모오습~,,,
[잡담],밸패팀이 해주려나요? 여러번 줬다 뺏으니까 두렵네요,,,
[잡담],최악의 경우:무력파 상향최선의 경우:딜무력 상향,,,
[잡담],일단 팔찌부터 깎아야 되는데 어지럽네,,,
[잡담],ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ존재 자체가 개그캐릭,,,
[잡담],테섭 오픈 : 드디어 상향이다ㅏㅏㅏㅏㅏ떡상이야ㅑㅑㅑㅑㅑㅑㅑ딜 20퍼상향 와ㅏㅏㅏㅏㅏㅏㅏㅏ지렸다 ~~~지렸어ㅓㅓㅓㅓ이제 다두졌따ㅏㅏㅏㅏㅏㅏ본섭적용 : 롤백,,,
[잡담],요새 날이좋아서 그런지시원해서 누울만해요●▅▇█▇▆▅▄▇근데 소울이터 그럼 6월에나오나?소울이터 나오면 건드려줄 직군은 데모닉?? 블레?? 리퍼??이번에 밸패하면 다음밸패는 빨라야 9월달인데 일정밀려서9월에 나올랑가아 슬레생각해보면 그것도 아닌듯요??소울이터도 일단 먼저내고 9월밸패때 연관직군 개선좀 해주고1월 밸패되서야 소울이터도 칼질하겠단 마인드인가그래서 신규직업 나오고 밸패하는고런 일정이구나 장사하긴해여하니까는근데 지금 붕미나 여기나 엔드콘 나올때마다리퍼기피 맥스치 계속 뚫는데이번엔 헛된희망..많이 품겠습니다이번엔 다르다구요..ㅠㅠ,,,
[잡담],"관종 찐따 유튜버가 또 관심 받을라고허수치고 영상올릴예정^^ㅈㄴ 웃긴게""리퍼는 약하다 그런데 나는 잘쳐서 다 따고 다닌다.""어쩌라는거임? 병신새끼가뺨따구 존나 쌔게 후려치고싶음",,,
[잡담],뻥디피 3000만 넘어가는 애들 뭔 너프를 당했다고..사멸 시너지 너프 안당하면 다행이다 시발너무 큰 기대는 하지말아들,,,
[잡담],다음 밸패때 리퍼 못뜨면 전압 다 털고 소울이터 넘기려고 하나 둘 모으고 있었는데이제 금요일만 기다리면 되는거지,,,
[잡담],솔직하게  98돌깍고 애정도 들어간 캐릭인건맞음근데 요새 생각보다 이캐릭만에 장점이 기동성 말고는 뭐가있을까 라는 생각이들었음무력이좋다? = 무력을 좀더 잘하고싶어서 라그에  전설압도 박고 하는데 모르겠음딜압축률이 좋다? = 달소원툴이여서 안좋다고 생각됨 갈증은모르겠고 쉐스 하나 막틱이랑 안맞으면억지로 아덴 채우려다 딜사이클 꼬여서 그냥 썡으로 박음.. 이게더 이득 같았어..딜이좋다? = 솔직하게 막 약한건아니라고봄  단 다른직업몇몇들이 엉청쌔고 딜압축률이 저래서 실전딜이 떨어질뿐단 딜구조상 다른 한방딜러들과 달리 안정성은 올라간다고 생각중... 딜이 급격하게 떨어져서 그렇지요새 직업바꿀려고 디트 슬레이어 블래스터 블레이드 소울이터 중에 고민하는와중에 테섭 소식이 들렸네밸패로 버프가된다면 애정을 더 부어보겠지만..너프가된다면 난 도망치겠어..,,,
[잡담],북미 혐오 1순위 캐릭이라서이번엔 진심 날아오를거같은데?진심 갈증 재미 0티어라 키우고싶어......260만명파 + 찬명돌 2500개녹이게 해주라 제발,,,
[잡담],나도 상향을 외치고있고실제로 특정직업이랑가면 벽느낄때도있음 (다른 직업 물고늘어지기 아님)딜적인 부분에서사멸중에서는 달소리퍼가 아마 저점은 제일높을꺼라서저점은 더 안건드릴거같고모르겠음 저번밸패때 4.4퍼를 줬다뺐은거보고서 딜상향될꺼라고 기대를 못하겠음근데 얘네가 여론을 많이보다보니까 취업률이나 이런거 보고 뭔가 건들긴할꺼같음아예 그냥 딜확올려서 퓨어딜러로 자리잡아주는게 베스트이긴한데근접 백어택 체방따리라서 아싸리 유리대포컨셉으로 잡아주는게 난 너무 좋을거같음근데 얘네보면 직업간 컨셉을 지키는편이아니라서 모르겠다진짜로,,,
[잡담],https://youtu.be/P1jGc49VHsc,,,
[잡담],이번 테섭도 구조개선 없으면카멘도 불가촉천민으로 가야지 뭐...,,,
[잡담],여론 패치하는 새끼들인데허수 올려서 타직업 유저들한테 화살 돌릴 이유가 없는 거지 ㅋㅋㅋㅋㅋ화살 이쪽으로 오는 순간 안 그래도 인식 안 좋은 리펀데 당연히인벤 여론 ㅈ박지 ㅋㅋㅋㅋㅋ그리고 이미 패치를 여론패치로 ㅈ같이 하는 걸 알거나의심이 가면 영상 안 올리고 가만히 있으면 되는 거지 ㅋㅋㅋ,,,
[잡담],현생사느라 상아탑나오고 1~2주후에 접었는데이번밸패 맛있으면 다시 가볼만한가요?,,,
[잡담],그게 증명되지 않은 사실일지라도이미 통수맞은 전적이 몇번있기에..가지마십쇼..ㅜㅜ,,,
[잡담],특화계수 롤백해 줘도 절대 처단급으로 못 올라설 듯체방 더 내려도 좋다.고특화 악세 값하게 계수 출시 때로 롤백달소는 아덴충전 급습 1개 사용에서아덴충전 후 슬레처럼 급습 스킬 다수 사용 가능하게페르소나 상태시 스킬 무력 증가딜 압축률+기믹 기여도 상승갈증은 Z키 자체 봉쇄(환류처럼)혼돈 상태 진입시 리퍼에게 슬레급 아우라 부여모든 급습 스킬에 혼돈 강화 트포 부여어차피 테섭인데 꿈이라도 꾸자,,,
[잡담],롤백예정이게 정배긴 함씹새끼들 좆같이 독한 치질에 걸려서평생 앉지도 서지도 못했으면,,,
[잡담],테섭에서  허수딜 조금 잘나와서 근들갑하는 새끼주작하는새끼못한거는기억도 못하고 아 나는 리퍼 할만한데? 니가똥손인듯 ㅇㅈㄹ 하는새끼들이런새끼들 많아서 상향 못받음 ㅅㅂ허수딜좀 쳐올리지 마라 올려도 ㅅㅂ 밸패 다끝나고 보름정도 있다가 올려 ㅅㅂ,,,
[잡담],근데 여태 하는거 보면 기대 하나도 안됨 ㅋㅋ금요일 패치보고 결론은아직도 사멸 키우는 새끼들은 능지 박살이다로 수렴할거 같은데애초에 전략도 그게 아닌가 의심스러움쭉 타대 밀어주다가 다음에 또 반짝할 때다시 타대 죽이고 사멸쪽 몰아가면많은 직업들을 새로 키우게할 수 있어서수익내려고 그런 방향으로 가지 않을까,,,
[잡담],우리 리퍼 불타면 화나겠지만 그래도 난 지금 불타고 있는 애들이 부럽다..,,,
[잡담],알아서 이번엔 처신좀 잘하자18련드라니들이 조중동 같은련둘이야,,,
[잡담],롤백,,,
[질문],,처음으로 키우고 처음으로 유기 당한 리퍼...왠지 모르겠지만 다시 키우고 싶어져서 1490에서 1540까진보낼 거 같은데... 지금 세팅이 치특신(112) 332 달소인데유물세팅 다시 해줘야 할까요...?고대가면 특신 아드3 에1 달소 할 거 같습니다,,
[잡담],리퍼화이팅,,,
[잡담],"저번 리퍼 밸패에서 어떤식으로 밸패하는지 이미 까발려져버림 ㅋㅋ참고로 어떤 직업이 강해야 하고, 이런 얘기를 하려는게 아님.그냥 스마게는 밸패 과정 자체가 믿음직스럽지가 않음스마게는 밸패 주기가 늦어지는 이유에 대해로아온에서'내부 지표'를 보고 판단해야해서라는답변을 유저들에게 공식적으로 내놓은 바 있음.그래 좋다 이거야, RPG기도 하니까굳이 매주 밸패를 할 필요는 없지, 신중하면 좋잖아?그래서 지난 밸패때 본인들이 수치를 보고 버프 했다라는 언급을 함그리고 해당 버프 내역에는 분명히주력기의 피해량 숫자만 증가함근데 일주일도 안가서 도로 롤백처리됨우선 이 부분은 리퍼가 롤백 받을만했다.아니다, 버프 했어야만했다. 이런 문제가 절대 아님아니 상식적으로 뭐 쿨타임을 건든것도 아니고,계수를 건든것도 아니고 그냥 주력기 딜 피해량 숫자만 늘림계산기를 두드려보거나 DPS측정을 1번이라도 했다면본인들의 의도보다 팍 튀어오르거나 낮아질 가능성이 굉장히 적었을거란 말이지?인간적으로 저렇게 하고 1번은 DPS측정을 해봤겠지~그런데 반년 넘게'내부지표'를 수집하고 내놓은 밸패인데일주일 동안 도대체 어떤 테섭 데이터가 쌓였길래부랴부랴 바로 너프를 먹일 정도였냐는 거지무슨말을 하려는거냐면솔직히 첫 일주일동안의 테스트서버에서소나벨이 과연 100마리는 잡혔을까?진지하게 쿠크 이상의 군단장 클리어가 30회 이상은 이뤄졌을까?유의미한 데이터가 정말 쌓인게 맞으며과연'내부지표'에 의한 버프 롤백이 이뤄진게 맞을까?지난 리퍼 테스트서버만 놓고 보면1.인벤 여론이 밸패에 반영된다.2.기본적인 숫자를 다룰줄 모른다.이 2개의 결과만이 남은거 같음.'여론대로 밸패가 이뤄진다.' 이 정도는 아니더라도유저들이 생각했을때도뭔가 숫자로만 밸패가 이뤄지는게 아니라분명히 여론이 반영되는거 같으니까서로 약코 강코 시키고 지랄 나는거지 ㅋㅋ이젠 뭐 내려치기 올려치기는 로아의 제3 컨텐츠잖아 ㅋㅋㅋㅋㅋ저러면서 유저들이 싸우지 말았으면 한다는 발언을 한건진짜 싸이코패스새끼가 따로 없다는 생각밖에 안듬",,,
[잡담],일단 딜 상향 상한선은 정해져있음 ㅋㅋㅋ 급습4프로갈증은 논외로 치고저거보다 더 할일 절대로 없고 ㅋㅋ근데 4퍼를 받는다고 쳐도 존나 웃김 ㅋㅋㅋ결국은 버프가 필요하다고 판단 하는건데 그럼 그냥 4개월 늦게 버프하기 일 뿐임 ㅋㅋㅋ리퍼야 4개월 기다렷 ㅋㅋㅋㅋㅋ,,,
[잡담],금요일날 커뮤 대폭발하는 꼴 보면서 치맥이나 뜯어야지,,,
[잡담],그정돈 해줄 수 있잖아..,,,
[잡담],걍 다른새끼들 병신 불구만들어주면 만족할듯,,,
[잡담],이번엔 스마게를 믿는단말이야.ㅠㅠ,,,
[잡담],기대하고 있으면여기 얼씬도하지마라어짜피 테섭 열리면 금손충 할만충 갈라치기 자게 분탕 타게 분탕 등등온갖 버러지새끼들 다 모여서 뒤진 리게에다 똥싸지르면서 개씹창 내놓을건데여기서 기대하지마라1월 같은 상황 또나온다 스트레스 받지말고 오지마라,,,
[잡담],크게작용좀 했으면 좋겠네,,,
[잡담],"여러분 팔찌 하나만 골라주십쇼특 110 치 86 순환 하, 33333에포1특 115 치 97 기습 중, 33333아드1사실 또이또이할꺼같은데.. 그래도 밑에꺼가 좀 더 낫나요? 일로아 기준 팔찌 효율은 순환이 좀 더 잘 나오긴 하는데..",,,
[잡담],딜은 회심 엘릭서효율잘받아서 보정이됬고 개인적으로 이정도딜은 충분하다고봄구조개선이나 치적불균형같은걸 해결해주거나 무파를 수치를 조정해줘야되는데치적불균형이나 구조개선은 당연히 안해줄거같고 무파 조정해주거나페르소나 이속 급습적용정도 해줄거같음 패싱당하거나,,,
[잡담],리퍼 1625찍고 줫같아서알카 1620찍었는데... 재미있긴해도 리퍼만큼 재미 없더라.....,,,
[잡담],치지마..?,,,
[잡담],애초에 듣지도 않을테지만..딜상향 필요 없다 등등 필요없다 라는 개소리 할거면 본인 스펙 오픈하고 합시다.매번 밸패 시즌마다 병신새끼들 등장해서 개소리 하는거 존나 꼴보기 싫으니까.,,,
[잡담],오버치적좀 어케 좀 해줘봐 좀,,,
[잡담],"처음 리퍼를 기획할 때 본인들이 2급습을 기준으로 캐릭을 기획했고 그대로 출시를 했는데, 이후 유저들이 플레이 하다가 3급습을 하게 되어서 캐릭이 세졌기 때문에너프를 했었어야 했다면본인들 2급습에 맞게 특화 수치'만' 조정해서 하면 됬던거 아님?특화수치, 깡딜, 각인서 3개 모조리 다 칼질 시켜서 도합 28퍼 너프를 시켰음.뭐 너프 받고 존나 강력했나보네 라고 생각 할 수도 있음.그럼 씨발 지금 똑같이 오버딜 나오는 직업군들도 동일 패치를 해야지..리퍼 저상태로 너프 먹이고 나서 이후에 너프 먹은 직업군들 깡통이 개 병신되게 패치된적 있음?밸패를 할거면 일관성 있게 하던지 지들 개 좆대로 패치를 하는데..심지어 지난번에는 급습스킬 깡딜 올리고 바로 롤백하고..",,,
[잡담],ㄹㅇ이였네 ㅋㅋㅋㅋ 바로 루민이 등장에 테섭 공지 이전에는 리게에 글쓴적도 없는 사람들이 활발히 활동중이시네 ㅋㅋㅋㅋㅋ,,,
[잡담],수치야 직접 계산해봐야겠지만 몇초 지속이냐에 따라서 돌대3도 채용 가능할듯? 대신 나디나 트리 강제 ㅋㅋ또 특신까지 가야되니까 치명을 어떻게 매꿀지도 고민해봐야될거 같고 어쨌건 페르소나 이후 급습에 이속 달리고급습 시킬만 상향되도 행복하게 고민해볼듯,,,
[잡담],저번 테섭 롤백이 게임사의 근본 신뢰도를 아예 삭제시켜버림..그러니 시즌만 되면 너도 나도 방구석 분탕이 돼가지고 꼬운 직업 박살내기 시전중..,,,
[잡담],달소얘는 솔직히 딜이 나쁜 게 아님오히려 유틸이 안 좋음자꾸 나메 디토 유틸 좋다 하는데 물론 상황에 따라 좋은 게 맞음다만 그게 강제적으로 딜 사이클에 포함 되어야 하다 보니 여유롭게 쓸 수 있는 상황이 많이 없음리퍼가 머리 자주 돌리게 되는 경우가 사이클이 강제된 나메디토 때문임근데 이건 내가 당해도 개좆같더라 시발련들 ㅋㅋ아르카나 같은 캐릭도 이동기 많은데 이동기 좋다고 잘 안하잖아 그게 다 스택스킬이라...다를 바가 없음얘는 솔직히 딜보다는 사이클 개선이 필요해 보임 그 예로 저번 공속 상향이 있었던 모양딜 상향은 솔직히 과하다고 보고해줘도 2% 미만이 맞다고 봄갈증얘가 사실 지금 달소 보다 모든 면에서 좋음그 유틸 좋다는 나메 디토도 지 마음대로 쓰기 십가능이라 쉐닷+신속 쿨감이 부담 안됨누적 무력 순간 무력도 좋은 편,,,
[잡담],롤백이후로 눕는사람 90퍼는 사라진것같은데이젠 화력도 딸리네로아 자체 인구가 줄어든건지 흠..,,,
[잡담],슬레 알카 섬너 소서 블래 건슬 호크 버섴 스커 블레 배마 디트 데헌인파 기공 기상 창술 스카 데모 워로달소보다 쎄다고 생각하는 윗줄 13개 아랫줄 7개임근데 아랫줄에 있는 애들을 달소가 확실히 이길수 있나조차도 의문임뭐 깔개 치신까지 고려하는건가?족쇄를 찬 특화캐는 특화캐끼리 비교하는게 맞음특화 캐릭이 딜몰이가 대체적으로 좋을 수 밖에 없으니까 현재 메타에 맞기 때문사실 더 정확하게 얘기하면 두 직각 중에 쎈거랑 비교하는게 맞음달소는 최소한으로 저번에 받지 못한 4.4프로는 받아야됨이건 베이스임난 서너달동안 저 4.4 조차도 못받았다는게 너무 화나는데 안그럼? 리퍼가 본캐 맞음?달소가 4.4를 받았다면 어떨까뭐 그래도 중간 정도밖에 못갈거같은데?달소는 설계상 딜이 top 3에 들어가야하는 캐릭임top 3에 들기위해서는 15프로는 받아야하지 않을까?물론 리퍼가 너무 쉬워서 top 3에 들정도면 리퍼가 전반적으로 너무 쎄지는 구조이긴함그걸 고려해서 top 7이 적당한 위치다하면 10프로는 받아야됨과하다고? 밸패에서 리퍼 창술 스카 이딴 클래스들은 지속적으로 3프로정도 상향을 받아왔는데 계속 제자리임4.4프로 이정도는 티어가 바뀌는게 아니라 그냥 현상 유지일 뿐임왜냐고? 로아가 쎈 캐릭들을 로테이션 돌리기 시작했기 때문임지난번과 지지난번에 초기 출시된 노후캐릭 8개를 리메이크급 패치를 했음알카 섬너 디트 호크 블래 버섴 (워로 바드)이번 패치에서는 배마 기공 인파 데헌이 받을 예정이고얘네들이 이제 또 위로 올라온다고이 상황에서 4.4만 받는다고??그냥 현 상황 유지임달소와 비슷한 포지션인 스커는 패치가 없어도 계속 상위권이고 달소는 지속적으로 상향을 받는데도 중위권 중하위권임달소가 스커 시너지를 못받아서 정확한 비교가 어렵지만 나는 개인적으로 일격이 달소보다 8-12프로 쎄다고 추정하고 있음이 상황에서 달소가 4.4의 2배인 9프로를 받는다고 파티에서 선호할까?달소보다 쎈 스커 인식보면 대충 견적나오지?사실 일격은 무력 파괴조차 달소 상위호환임리퍼 리메이크급 패치는 대체 언젠데?다다음이면 올해말 다다다음이면 내년 초중까지 밀림30프로 너프된지 2년이 됐는데 언제까지 기다려야됨?그리고 로테이션 관점에서도 달소는 4개월간 4.4를 추가 손해봣다 이말이야진짜 이번에 최소 10프로는 받아야됨근데 10프로 상향된다고 달소로 카멘 취직할수 있을거 같음?어림도 없지 ㅋㅋ,,,
[잡담],4급습..,,,
